satisfaction,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Departure/Arrival time convenient,Food and drink,Gate location,Inflight wifi service,Inflight entertainment,Online support,Ease of Online booking,On-board service,Leg room service,Baggage handling,Checkin service,Cleanliness,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
neutral or dissatisfied,Loyal Customer,41,Business travel,Eco,875,3,1,2,3,4,2,2,2,2,2,4,3,3,4,26,21
satisfied,Loyal Customer,37,Business travel,Business,3401,4,5,3,4,3,5,5,5,4,4,4,4,4,4,0,18
satisfied,Loyal Customer,36,Business travel,Business,1919,4,1,3,3,4,3,4,5,5,2,5,5,3,5,20,25
satisfied,Loyal Customer,37,Business travel,Business,477,5,3,3,5,4,3,5,4,3,5,5,4,5,3,0,0
neutral or dissatisfied,Loyal Customer,36,Business travel,Eco,1822,3,3,2,4,5,1,5,4,4,2,3,3,4,2,0,2
neutral or dissatisfied,Loyal Customer,55,Business travel,Business,4356,4,3,4,3,3,5,3,3,4,5,4,3,4,4,61,74
satisfied,Loyal Customer,27,Business travel,Business,2370,3,4,3,3,4,4,5,3,5,3,5,5,5,4,0,0
satisfied,Loyal Customer,85,Personal Travel,Eco,1030,4,4,3,3,3,4,3,2,4,3,3,2,4,3,0,0
satisfied,Loyal Customer,35,Business travel,Business,938,3,3,5,3,4,4,3,5,5,5,4,4,3,3,22,47
satisfied,Loyal Customer,71,Personal Travel,Business,870,5,4,5,2,5,4,5,5,5,5,4,4,5,5,1,17
satisfied,Disloyal Customer,40,Business travel,Business,1334,4,3,1,4,2,5,2,4,4,3,4,3,4,5,1,0
satisfied,Loyal Customer,47,Business travel,Business,2852,4,2,4,2,4,4,3,3,3,5,3,5,2,4,49,63
satisfied,Loyal Customer,76,Business travel,Business,2054,5,3,4,3,5,4,4,5,4,5,4,3,5,5,12,0
neutral or dissatisfied,Disloyal Customer,15,Personal Travel,Eco Plus,176,3,3,3,5,3,2,4,2,3,1,3,3,2,2,0,0
satisfied,Loyal Customer,35,Personal Travel,Business,297,4,5,4,3,4,5,4,3,5,4,5,3,4,5,0,7
neutral or dissatisfied,Disloyal Customer,24,Personal Travel,Eco,1025,2,4,5,3,2,2,3,3,4,1,2,3,3,1,6,21
neutral or dissatisfied,Disloyal Customer,26,Business travel,Eco Plus,4983,4,4,3,4,5,1,2,3,3,3,3,2,3,1,0,0
satisfied,Loyal Customer,35,Business travel,Business,993,3,4,5,3,5,3,4,3,5,5,5,4,5,3,13,15
satisfied,Disloyal Customer,34,Business travel,Business,1005,3,3,5,4,3,3,3,4,4,5,3,2,4,3,0,3
satisfied,Loyal Customer,57,Business travel,Eco,3543,2,5,2,3,2,2,4,4,3,4,3,3,3,3,0,15
neutral or dissatisfied,Disloyal Customer,42,Business travel,Eco,1454,1,4,1,4,3,4,3,2,2,2,3,1,3,2,0,0
satisfied,Disloyal Customer,62,Personal Travel,Business,1491,3,2,4,4,5,3,3,4,3,3,2,3,3,3,0,0
satisfied,Loyal Customer,43,Business travel,Eco,855,4,3,4,5,4,3,5,3,5,4,3,3,5,3,0,5
satisfied,Loyal Customer,52,Business travel,Business,1085,4,3,4,3,4,3,3,5,3,5,4,5,3,5,2,0
neutral or dissatisfied,Loyal Customer,49,Personal Travel,Eco,1406,3,0,2,3,4,4,3,4,3,3,3,4,4,3,0,0
neutral or dissatisfied,Loyal Customer,59,Business travel,Eco,150,3,3,3,4,4,3,3,5,3,4,3,4,4,2,51,35
satisfied,Disloyal Customer,28,Personal Travel,Eco Plus,1776,3,2,2,3,1,3,2,2,2,3,4,3,3,2,0,8
neutral or dissatisfied,Loyal Customer,23,Personal Travel,Eco,561,2,1,1,2,1,2,4,4,3,2,2,4,2,1,231,218
satisfied,Loyal Customer,34,Business travel,Eco Plus,3940,4,3,4,4,3,5,1,3,3,5,4,4,3,4,0,9
neutral or dissatisfied,Disloyal Customer,30,Personal Travel,Eco,2139,4,4,3,4,4,1,3,4,3,2,2,2,4,3,0,9
satisfied,Loyal Customer,59,Personal Travel,Eco,346,2,3,3,4,1,3,4,3,3,4,3,3,4,4,1,1
satisfied,Disloyal Customer,44,Business travel,Eco,971,3,4,3,4,4,3,3,2,3,3,1,2,3,0,17,41
satisfied,Loyal Customer,23,Personal Travel,Business,312,4,3,4,4,2,5,5,3,5,5,2,4,5,3,0,4
neutral or dissatisfied,Disloyal Customer,66,Business travel,Business,1099,4,3,5,3,5,4,3,4,4,3,4,3,4,3,0,0
neutral or dissatisfied,Disloyal Customer,41,Personal Travel,Eco,150,0,1,2,1,1,3,2,1,3,4,3,2,2,0,59,26
satisfied,Loyal Customer,15,Personal Travel,Eco,694,2,3,2,4,1,3,3,3,2,3,3,3,3,2,0,8
satisfied,Loyal Customer,54,Business travel,Business,3035,5,4,3,2,3,4,3,5,5,5,5,5,5,3,0,6
neutral or dissatisfied,Loyal Customer,36,Business travel,Eco Plus,3681,3,4,3,5,2,4,3,3,3,4,3,3,3,3,0,15
satisfied,Loyal Customer,52,Business travel,Business,1143,3,2,3,3,4,4,3,4,5,5,3,5,4,4,2,18
satisfied,Loyal Customer,52,Business travel,Business,834,3,4,5,2,5,5,5,4,5,4,5,4,4,4,0,13
satisfied,Loyal Customer,53,Business travel,Business,2284,4,2,5,2,5,5,5,5,4,5,3,4,4,3,9,16
satisfied,Loyal Customer,31,Business travel,Eco,805,4,2,2,3,4,4,4,2,4,3,4,3,4,4,0,5
satisfied,Loyal Customer,51,Personal Travel,Eco,2382,3,4,3,2,3,2,4,3,2,1,4,3,3,4,11,22
neutral or dissatisfied,Loyal Customer,41,Business travel,Business,3371,5,2,4,3,5,2,4,3,1,4,3,3,4,3,65,61
satisfied,Disloyal Customer,33,Personal Travel,Business,576,2,4,3,3,1,4,1,4,5,5,3,4,3,4,3,8
neutral or dissatisfied,Loyal Customer,41,Business travel,Business,1135,5,2,3,3,4,5,4,5,3,4,4,3,5,3,22,16
neutral or dissatisfied,Loyal Customer,39,Personal Travel,Eco,738,2,3,3,2,3,4,5,3,2,2,4,4,1,4,0,3
satisfied,Loyal Customer,53,Personal Travel,Eco,1960,3,3,2,3,3,4,3,2,3,2,2,4,3,2,0,9
neutral or dissatisfied,Loyal Customer,23,Personal Travel,Eco,1398,4,3,2,3,0,2,3,5,3,3,1,3,3,2,39,42
neutral or dissatisfied,Loyal Customer,35,Business travel,Eco,1234,3,4,2,3,3,5,4,5,4,3,3,4,2,5,0,4
satisfied,Loyal Customer,7,Personal Travel,Business,1031,4,4,5,3,4,4,3,4,5,5,5,4,5,4,0,0
satisfied,Disloyal Customer,46,Business travel,Eco,1513,1,2,4,5,1,1,3,2,4,2,3,2,3,3,30,14
satisfied,Loyal Customer,27,Business travel,Business,1814,5,5,3,5,5,3,4,4,5,3,4,5,5,3,11,0
satisfied,Loyal Customer,7,Personal Travel,Eco,630,2,1,2,3,4,2,5,3,3,5,4,4,3,5,2,9
satisfied,Disloyal Customer,55,Business travel,Eco,3006,3,2,2,3,2,2,3,4,3,4,2,3,3,2,0,0
satisfied,Loyal Customer,32,Personal Travel,Eco,2522,1,4,3,3,2,3,2,4,4,2,4,2,2,4,0,4
neutral or dissatisfied,Loyal Customer,38,Personal Travel,Eco,769,3,4,2,3,4,4,4,5,3,4,3,3,4,2,27,30
neutral or dissatisfied,Disloyal Customer,29,Personal Travel,Eco,686,2,2,2,2,1,1,2,3,3,1,1,0,2,2,322,316
satisfied,Loyal Customer,44,Personal Travel,Eco Plus,606,3,4,3,5,2,5,4,3,4,5,4,2,5,5,0,8
neutral or dissatisfied,Loyal Customer,7,Personal Travel,Eco,1001,4,2,3,5,0,2,2,3,1,1,3,2,3,2,50,68
satisfied,Loyal Customer,32,Personal Travel,Eco,494,3,3,3,3,3,3,4,2,4,5,4,4,2,4,0,0
neutral or dissatisfied,Disloyal Customer,31,Business travel,Business,4983,5,4,2,4,4,3,3,2,3,5,2,2,3,3,0,0
satisfied,Loyal Customer,23,Business travel,Business,1925,2,3,3,3,4,4,4,4,5,5,3,5,4,3,33,30
satisfied,Disloyal Customer,48,Business travel,Business,1777,5,3,3,4,5,3,3,4,5,3,4,1,3,3,13,11
satisfied,Disloyal Customer,23,Personal Travel,Eco,848,3,4,2,4,1,3,3,0,3,3,2,4,1,3,0,0
neutral or dissatisfied,Loyal Customer,42,Personal Travel,Eco,1581,3,3,3,4,5,5,4,4,4,3,3,3,3,4,0,3
satisfied,Loyal Customer,29,Business travel,Business,1214,3,2,5,4,5,5,5,4,5,5,3,5,4,4,20,25
neutral or dissatisfied,Loyal Customer,34,Personal Travel,Eco Plus,2104,5,2,2,4,2,3,4,3,3,4,3,3,4,3,19,17
satisfied,Loyal Customer,65,Personal Travel,Eco,719,2,3,2,2,3,3,3,3,3,1,3,3,5,4,41,41
neutral or dissatisfied,Loyal Customer,25,Personal Travel,Business,1639,4,2,3,2,5,4,4,4,2,5,4,4,4,5,0,0
neutral or dissatisfied,Loyal Customer,36,Personal Travel,Eco,669,4,1,3,2,2,4,4,5,2,2,4,3,3,2,31,40
neutral or dissatisfied,Loyal Customer,27,Business travel,Business,871,3,4,5,4,4,4,4,5,4,3,4,5,5,5,0,0
neutral or dissatisfied,Loyal Customer,35,Personal Travel,Eco,1397,3,3,2,4,3,3,3,4,5,4,3,4,3,3,0,11
neutral or dissatisfied,Loyal Customer,25,Personal Travel,Eco Plus,1915,4,3,3,3,3,3,4,2,3,2,3,4,2,3,39,38
satisfied,Loyal Customer,24,Business travel,Business,3671,4,3,4,3,4,4,2,4,5,4,4,3,4,4,26,28
satisfied,Loyal Customer,32,Business travel,Business,1619,4,5,3,3,4,4,4,3,5,4,3,3,4,4,36,32
neutral or dissatisfied,Loyal Customer,23,Personal Travel,Eco,2388,4,4,4,2,4,2,2,3,3,3,3,3,3,4,1,2
satisfied,Loyal Customer,38,Business travel,Business,2861,5,2,4,3,2,5,5,4,4,5,4,5,5,4,0,8
neutral or dissatisfied,Loyal Customer,22,Business travel,Business,2083,4,4,5,3,4,5,4,4,5,5,5,4,4,5,0,15
satisfied,Disloyal Customer,55,Business travel,Business,1323,3,4,4,2,3,4,1,4,3,3,3,5,3,3,0,8
satisfied,Loyal Customer,36,Personal Travel,Eco Plus,772,5,2,4,3,4,2,5,3,5,4,2,3,2,3,41,55
neutral or dissatisfied,Loyal Customer,38,Personal Travel,Eco Plus,1232,5,4,5,2,3,3,5,3,4,4,4,3,4,4,0,7
satisfied,Loyal Customer,58,Business travel,Eco Plus,1080,5,2,4,3,3,3,3,3,4,2,4,4,4,5,0,0
satisfied,Disloyal Customer,30,Personal Travel,Eco,753,1,3,3,4,4,1,2,3,1,1,4,2,4,4,0,0
satisfied,Disloyal Customer,46,Business travel,Business,1148,3,5,3,5,5,4,4,4,3,4,3,4,4,2,0,0
neutral or dissatisfied,Disloyal Customer,46,Business travel,Eco,2740,2,4,1,3,3,4,2,3,3,4,3,2,4,1,0,14
satisfied,Loyal Customer,36,Business travel,Business,1327,5,3,4,3,3,5,5,3,5,5,5,4,4,4,0,1
neutral or dissatisfied,Disloyal Customer,50,Personal Travel,Eco,1004,1,3,4,2,1,3,2,2,4,3,4,3,2,3,0,0
satisfied,Loyal Customer,50,Business travel,Business,1407,5,3,4,1,4,4,4,4,3,4,4,5,5,5,0,23
neutral or dissatisfied,Disloyal Customer,72,Personal Travel,Business,483,2,5,5,4,5,3,3,3,2,4,3,3,3,4,37,30
neutral or dissatisfied,Disloyal Customer,27,Business travel,Eco,1366,4,2,2,1,2,3,2,2,3,2,4,3,3,2,10,4
satisfied,Loyal Customer,20,Personal Travel,Business,427,4,3,5,1,4,3,5,3,2,5,4,3,4,3,2,18
satisfied,Loyal Customer,43,Business travel,Business,3616,4,4,5,3,5,3,5,4,5,5,5,4,4,4,8,24
neutral or dissatisfied,Loyal Customer,30,Business travel,Business,1466,4,5,4,3,5,3,4,4,4,4,5,3,3,4,0,0
satisfied,Loyal Customer,48,Business travel,Business,3085,5,3,5,3,5,5,5,5,5,4,5,5,4,4,0,1
neutral or dissatisfied,Disloyal Customer,21,Personal Travel,Eco,1101,2,2,2,4,3,2,2,2,1,3,3,4,2,2,0,0
satisfied,Loyal Customer,38,Business travel,Eco Plus,1980,5,4,5,3,5,4,4,3,4,3,4,4,4,4,0,10
satisfied,Loyal Customer,21,Personal Travel,Business,1379,4,3,5,2,5,5,4,5,5,3,4,3,3,4,0,0
neutral or dissatisfied,Disloyal Customer,40,Business travel,Eco,2401,0,1,1,3,3,2,1,1,2,3,2,2,1,0,258,270
satisfied,Disloyal Customer,27,Personal Travel,Eco,138,2,5,2,5,0,3,3,2,2,3,4,2,2,3,0,0
satisfied,Disloyal Customer,32,Business travel,Business,2324,4,2,4,4,2,4,5,4,5,4,5,3,3,3,0,15
satisfied,Loyal Customer,28,Business travel,Business,1802,5,3,1,3,5,4,4,5,5,5,5,5,4,3,0,0
satisfied,Disloyal Customer,57,Business travel,Business,2264,5,4,4,2,3,5,4,3,4,5,3,4,4,3,0,0
satisfied,Loyal Customer,43,Business travel,Business,4790,3,5,5,4,4,5,4,5,5,5,4,5,3,4,0,4
satisfied,Disloyal Customer,25,Business travel,Business,1224,3,3,5,4,4,4,2,3,4,5,3,4,3,4,24,17
satisfied,Loyal Customer,29,Business travel,Business,4014,4,4,3,3,3,5,5,4,4,4,3,5,4,4,0,0
satisfied,Loyal Customer,21,Business travel,Business,2552,4,4,5,3,4,4,5,4,5,5,4,4,5,5,13,29
satisfied,Loyal Customer,21,Business travel,Eco,1734,3,1,3,4,2,2,3,1,5,1,3,2,2,3,66,70
satisfied,Loyal Customer,52,Business travel,Business,3279,5,3,4,3,5,4,4,5,4,5,5,5,4,3,0,5
neutral or dissatisfied,Loyal Customer,61,Business travel,Business,4185,3,1,3,2,3,4,4,5,4,5,4,4,3,4,77,99
satisfied,Disloyal Customer,40,Business travel,Business,895,4,1,3,4,3,3,4,4,5,3,5,3,3,4,0,2
neutral or dissatisfied,Disloyal Customer,45,Business travel,Eco,1405,3,4,4,3,2,2,3,4,3,2,4,3,4,5,4,0
neutral or dissatisfied,Loyal Customer,30,Personal Travel,Eco,412,4,3,1,2,4,4,4,3,3,3,4,3,3,4,45,46
neutral or dissatisfied,Disloyal Customer,66,Personal Travel,Eco,503,2,3,1,5,2,2,2,2,1,4,4,2,4,3,3,4
satisfied,Disloyal Customer,25,Business travel,Business,949,4,3,3,4,5,2,4,3,5,4,4,2,2,3,20,23
satisfied,Loyal Customer,25,Personal Travel,Eco,1176,4,2,3,3,3,3,4,3,2,3,4,4,4,2,0,0
satisfied,Loyal Customer,24,Business travel,Business,1351,4,5,3,4,3,4,5,4,5,5,3,4,4,4,15,14
satisfied,Disloyal Customer,68,Business travel,Business,1227,4,3,2,3,1,5,4,3,4,5,5,4,3,4,0,11
satisfied,Loyal Customer,39,Business travel,Business,1705,4,4,4,2,4,2,4,3,4,5,5,4,4,5,0,12
satisfied,Disloyal Customer,39,Personal Travel,Eco,695,3,4,3,3,2,3,4,2,3,3,5,3,0,3,0,0
satisfied,Loyal Customer,27,Business travel,Business,3668,5,3,4,3,4,5,4,4,4,5,3,4,3,5,0,0
satisfied,Loyal Customer,41,Business travel,Business,1769,5,4,5,3,5,5,5,5,4,5,4,5,4,3,5,16
satisfied,Loyal Customer,23,Business travel,Business,4983,4,3,2,3,2,5,4,5,3,5,3,4,4,4,11,14
neutral or dissatisfied,Disloyal Customer,38,Business travel,Business,989,2,2,4,3,4,4,3,4,3,5,2,4,3,3,0,7
neutral or dissatisfied,Loyal Customer,44,Business travel,Business,3061,4,3,5,4,4,3,4,3,4,3,4,3,2,5,0,0
neutral or dissatisfied,Loyal Customer,35,Personal Travel,Eco,150,4,3,3,3,3,3,4,3,2,2,3,3,3,3,0,0
satisfied,Loyal Customer,37,Personal Travel,Eco Plus,1136,3,3,4,3,2,3,3,4,3,3,4,5,3,5,9,0
neutral or dissatisfied,Loyal Customer,22,Business travel,Business,1610,4,2,4,2,5,5,4,4,5,3,5,4,3,4,22,33
satisfied,Loyal Customer,25,Business travel,Business,587,4,3,4,5,4,4,5,3,4,5,4,4,4,4,0,0
satisfied,Disloyal Customer,46,Business travel,Business,1342,4,3,3,2,3,3,2,3,3,3,3,3,5,2,0,10
neutral or dissatisfied,Loyal Customer,42,Business travel,Eco,1850,4,4,4,2,2,4,3,2,5,3,3,5,3,3,13,4
neutral or dissatisfied,Disloyal Customer,46,Personal Travel,Eco,3401,3,4,0,4,2,0,4,2,1,1,2,2,2,1,74,76
satisfied,Loyal Customer,67,Business travel,Business,4983,5,3,5,3,4,4,4,5,5,4,3,4,4,4,1,0
neutral or dissatisfied,Loyal Customer,13,Personal Travel,Eco Plus,1644,1,3,3,4,3,2,3,4,4,3,4,3,3,4,32,24
neutral or dissatisfied,Loyal Customer,40,Personal Travel,Eco,1371,2,5,2,5,2,4,3,2,4,4,4,3,2,3,0,9
neutral or dissatisfied,Loyal Customer,45,Business travel,Business,3569,5,4,4,4,5,5,4,4,5,4,4,5,4,5,0,1
neutral or dissatisfied,Loyal Customer,9,Personal Travel,Eco,675,3,4,1,4,3,4,4,4,3,3,5,3,3,4,7,9
satisfied,Loyal Customer,35,Business travel,Eco Plus,1266,4,4,4,4,3,4,5,5,4,5,4,3,3,4,0,10
satisfied,Loyal Customer,25,Personal Travel,Eco,458,4,5,2,3,4,2,3,5,2,2,3,2,5,2,17,19
satisfied,Disloyal Customer,36,Personal Travel,Business,1348,4,3,1,2,4,4,4,3,4,4,3,3,4,4,12,28
neutral or dissatisfied,Disloyal Customer,55,Business travel,Eco,2136,2,3,2,3,3,1,4,2,3,2,2,3,3,5,0,6
satisfied,Loyal Customer,51,Business travel,Eco,1992,4,2,3,3,3,2,1,4,4,3,3,2,2,3,0,1
satisfied,Loyal Customer,45,Business travel,Business,2083,5,3,3,5,4,5,4,4,5,4,4,3,4,4,1,3
neutral or dissatisfied,Loyal Customer,31,Business travel,Eco,408,3,5,3,4,2,4,3,4,2,3,5,3,3,3,10,4
neutral or dissatisfied,Disloyal Customer,32,Personal Travel,Eco,419,2,3,4,3,3,3,3,1,3,2,2,1,2,3,0,0
satisfied,Loyal Customer,28,Business travel,Business,2508,5,3,3,4,4,2,5,5,4,5,5,4,5,5,4,0
satisfied,Loyal Customer,57,Personal Travel,Eco,1421,3,4,2,5,2,3,5,4,1,3,4,4,4,4,0,20
neutral or dissatisfied,Disloyal Customer,50,Business travel,Eco,3630,1,2,2,3,3,2,5,3,2,3,2,3,3,1,41,38
satisfied,Loyal Customer,23,Personal Travel,Eco,1175,3,3,2,1,2,2,3,3,3,4,3,3,3,4,0,0
satisfied,Disloyal Customer,51,Business travel,Business,4983,5,4,3,4,2,4,3,2,3,4,4,2,4,4,0,2
satisfied,Loyal Customer,55,Business travel,Business,1306,5,3,5,2,4,3,4,2,5,5,4,5,5,4,7,5
satisfied,Loyal Customer,40,Business travel,Business,2477,5,3,3,3,5,3,4,5,2,5,3,5,4,4,0,1
neutral or dissatisfied,Disloyal Customer,34,Business travel,Business,1292,5,3,4,4,4,4,3,2,4,5,4,3,3,2,0,17
satisfied,Loyal Customer,22,Personal Travel,Eco,1016,3,4,2,2,4,4,4,2,4,1,3,5,3,5,0,6
satisfied,Loyal Customer,55,Business travel,Business,611,4,3,4,4,3,3,5,4,4,5,5,5,5,5,0,0
neutral or dissatisfied,Disloyal Customer,46,Business travel,Business,564,3,3,4,3,3,3,5,3,2,4,4,3,4,5,0,0
satisfied,Loyal Customer,60,Business travel,Business,2639,4,5,4,3,4,4,3,2,3,4,4,3,4,5,0,2
satisfied,Loyal Customer,34,Business travel,Eco,1538,4,4,4,4,2,3,2,3,4,2,3,4,2,3,0,10
neutral or dissatisfied,Loyal Customer,37,Business travel,Eco,2085,2,4,2,4,4,5,3,4,2,4,2,3,3,4,0,0
satisfied,Loyal Customer,39,Business travel,Business,4446,5,2,4,4,4,4,2,5,5,4,5,4,4,3,30,19
neutral or dissatisfied,Loyal Customer,9,Personal Travel,Eco,1412,3,3,4,4,2,2,4,3,2,2,3,3,3,5,0,0
neutral or dissatisfied,Loyal Customer,7,Personal Travel,Eco,1723,2,3,2,4,2,4,3,5,3,3,2,3,3,3,0,19
satisfied,Loyal Customer,38,Business travel,Business,1049,3,3,5,3,4,5,4,5,5,5,4,4,4,4,21,33
satisfied,Loyal Customer,21,Personal Travel,Eco Plus,2522,4,3,2,3,3,4,4,5,3,3,3,3,4,4,1,0
neutral or dissatisfied,Loyal Customer,28,Business travel,Business,1046,3,4,4,1,4,4,5,4,5,4,5,4,4,4,0,0
satisfied,Loyal Customer,64,Personal Travel,Eco,848,3,3,2,4,5,3,5,2,4,5,4,2,4,3,38,57
neutral or dissatisfied,Disloyal Customer,28,Personal Travel,Eco Plus,779,4,4,3,3,3,2,2,4,4,2,4,3,3,1,0,8
neutral or dissatisfied,Loyal Customer,43,Personal Travel,Eco,401,3,3,4,3,3,3,3,4,3,3,3,4,2,3,27,16
satisfied,Loyal Customer,41,Business travel,Business,234,4,4,5,1,4,3,4,4,5,4,3,3,5,4,0,22
satisfied,Loyal Customer,45,Personal Travel,Eco,565,3,1,2,4,4,4,3,4,2,3,3,2,3,4,8,15
satisfied,Loyal Customer,32,Business travel,Eco Plus,2199,4,3,5,2,3,4,3,4,4,4,4,3,5,4,0,5
neutral or dissatisfied,Loyal Customer,39,Business travel,Eco,877,3,5,1,4,4,3,3,2,2,3,4,4,3,3,5,0
neutral or dissatisfied,Loyal Customer,33,Business travel,Eco,4983,3,4,4,4,0,3,2,3,1,2,3,3,4,2,14,0
neutral or dissatisfied,Disloyal Customer,34,Personal Travel,Eco,2924,4,2,2,5,3,3,3,4,3,3,4,1,2,1,21,3
neutral or dissatisfied,Disloyal Customer,36,Personal Travel,Eco,713,2,2,3,4,1,1,2,2,3,3,2,1,2,3,0,8
satisfied,Loyal Customer,55,Business travel,Eco,1075,3,3,3,5,3,4,2,4,4,4,3,4,4,2,0,0
satisfied,Disloyal Customer,56,Business travel,Business,1598,3,4,4,3,5,5,4,3,4,4,4,4,4,4,0,8
satisfied,Loyal Customer,67,Personal Travel,Eco,429,5,4,4,4,3,3,5,2,2,3,3,4,3,3,0,3
satisfied,Loyal Customer,33,Personal Travel,Eco,1067,3,4,2,1,3,3,3,2,4,3,3,4,4,4,7,0
neutral or dissatisfied,Disloyal Customer,59,Business travel,Eco,2341,4,4,2,1,2,2,2,3,3,1,2,1,2,1,30,35
satisfied,Loyal Customer,26,Business travel,Eco Plus,1533,5,3,4,3,4,4,3,5,4,4,3,5,2,4,16,19
satisfied,Loyal Customer,36,Business travel,Business,2730,5,2,3,5,5,5,4,4,4,5,3,4,5,3,10,10
satisfied,Loyal Customer,45,Business travel,Business,3316,4,3,4,4,4,3,5,5,5,3,4,4,5,2,0,0
neutral or dissatisfied,Disloyal Customer,42,Business travel,Eco,1594,3,4,2,5,2,3,3,2,2,1,3,3,4,1,0,5
satisfied,Loyal Customer,12,Personal Travel,Eco,1851,4,1,4,3,4,5,2,2,2,4,2,4,4,3,0,0
satisfied,Loyal Customer,43,Business travel,Eco,3964,3,3,3,5,4,3,5,3,4,3,4,3,3,5,0,0
neutral or dissatisfied,Disloyal Customer,48,Personal Travel,Eco,805,2,4,2,4,1,2,0,3,3,4,3,4,2,1,0,0
neutral or dissatisfied,Loyal Customer,63,Business travel,Eco,4983,2,3,3,3,4,2,3,4,2,2,3,3,3,4,25,32
satisfied,Loyal Customer,25,Business travel,Eco,3070,3,2,3,3,5,3,4,5,2,2,3,3,4,4,0,12
satisfied,Loyal Customer,41,Business travel,Business,1349,5,3,5,4,3,5,4,4,5,4,4,5,5,4,0,0
neutral or dissatisfied,Disloyal Customer,31,Personal Travel,Eco,1205,3,1,3,2,2,3,3,3,2,3,3,3,2,3,17,22
satisfied,Loyal Customer,35,Personal Travel,Eco,1266,3,4,3,2,5,5,2,5,2,1,5,2,4,3,53,48
satisfied,Loyal Customer,16,Personal Travel,Business,374,2,5,3,4,3,3,5,5,3,5,3,4,5,5,0,0
satisfied,Loyal Customer,17,Personal Travel,Eco Plus,599,3,1,2,5,3,4,4,5,4,5,4,2,3,3,5,12
satisfied,Loyal Customer,60,Business travel,Eco Plus,2041,4,3,2,3,5,5,4,3,4,3,3,4,4,3,0,0
neutral or dissatisfied,Loyal Customer,34,Personal Travel,Eco Plus,702,3,0,2,4,3,2,2,2,4,3,1,2,4,3,134,131
neutral or dissatisfied,Disloyal Customer,23,Business travel,Business,4983,4,4,4,3,5,3,2,3,3,5,3,3,4,2,0,0
satisfied,Loyal Customer,49,Business travel,Business,1648,5,5,3,3,4,4,3,4,4,4,4,4,4,4,0,14
neutral or dissatisfied,Loyal Customer,66,Business travel,Business,2433,5,3,5,3,4,5,4,5,5,3,5,4,2,5,0,6
neutral or dissatisfied,Disloyal Customer,57,Personal Travel,Eco,1932,2,4,3,2,2,2,2,1,2,2,1,3,2,2,0,1
satisfied,Disloyal Customer,37,Personal Travel,Eco,1531,2,1,2,4,2,3,2,3,1,2,2,2,2,4,0,0
satisfied,Loyal Customer,43,Business travel,Business,3455,4,3,2,3,3,5,4,4,5,4,4,5,4,5,8,6
satisfied,Disloyal Customer,29,Personal Travel,Business,520,3,5,5,1,3,5,3,4,5,5,3,3,4,4,0,15
satisfied,Disloyal Customer,38,Business travel,Business,1670,5,2,3,2,3,4,3,3,4,5,4,3,3,3,0,0
neutral or dissatisfied,Disloyal Customer,48,Business travel,Eco,1593,3,5,3,4,3,2,3,2,2,2,3,0,2,3,0,2
satisfied,Loyal Customer,31,Business travel,Eco,710,3,2,4,2,3,2,4,3,4,3,2,4,2,3,3,4
neutral or dissatisfied,Disloyal Customer,46,Business travel,Eco Plus,4983,2,2,3,2,2,5,5,4,3,4,3,3,3,5,0,0
neutral or dissatisfied,Disloyal Customer,35,Business travel,Eco,2608,2,5,4,2,4,3,2,4,3,3,4,3,3,3,0,9
neutral or dissatisfied,Loyal Customer,36,Personal Travel,Eco,3722,2,4,4,3,3,4,4,4,3,4,4,3,2,2,0,1
satisfied,Loyal Customer,61,Personal Travel,Business,158,4,4,2,5,4,3,5,4,5,5,4,4,4,5,0,0
neutral or dissatisfied,Disloyal Customer,68,Personal Travel,Eco,1771,2,3,1,2,1,3,1,5,5,3,3,3,2,1,4,1
satisfied,Loyal Customer,37,Personal Travel,Eco,760,2,4,5,5,2,3,4,1,2,3,3,2,4,3,0,0
neutral or dissatisfied,Loyal Customer,38,Personal Travel,Eco,1160,3,3,2,3,2,4,4,3,2,3,3,3,3,2,0,0
neutral or dissatisfied,Loyal Customer,28,Personal Travel,Business,286,3,0,5,3,3,2,4,4,2,4,4,4,3,2,313,314
neutral or dissatisfied,Disloyal Customer,53,Personal Travel,Eco,2321,4,5,2,5,2,4,0,2,3,1,2,4,3,2,9,18
satisfied,Loyal Customer,45,Personal Travel,Eco,3294,3,1,2,3,3,2,3,2,4,4,3,2,4,4,17,8
neutral or dissatisfied,Loyal Customer,35,Personal Travel,Eco,256,4,5,3,4,3,3,2,4,3,3,3,3,3,2,0,0
satisfied,Loyal Customer,29,Personal Travel,Eco,892,5,2,3,4,2,3,3,1,3,3,4,3,4,3,0,0
satisfied,Loyal Customer,58,Business travel,Business,3349,4,4,4,2,4,5,4,5,5,5,5,4,4,5,0,0
satisfied,Loyal Customer,39,Business travel,Eco,498,4,4,3,3,3,5,2,2,4,2,4,3,4,3,0,0
neutral or dissatisfied,Disloyal Customer,43,Personal Travel,Eco,587,3,4,2,3,2,2,2,2,4,1,3,2,4,4,0,0
satisfied,Loyal Customer,62,Business travel,Business,976,5,3,2,3,5,5,5,2,3,5,4,5,4,5,0,21
